"","Loc","Type","Spec","Family","Order","Spec_group","lat","lng","date","Sampletime","Det","Stage","Sex","Method"
"1","Bo","crop","Alauda arvensis","Alaudidae","Passeriformes","birds",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"2","Bo","crop","Columba palumbus","Columbidae","Columbiformes","birds",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"3","Bo","crop","Corvus corone","Corvidae","Passeriformes","birds",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"4","Bo","crop","Emberiza citrinella","Emberizidae","Passeriformes","birds",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"5","Bo","crop","Fringilla coelebs","Fringillidae","Passeriformes","birds",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"6","Bo","crop","Passer domesticus","Passeridae","Passeriformes","birds",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"7","Bo","crop","Pica pica","Corvidae","Passeriformes","birds",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"8","Bo","crop","Pyrrhula pyrrhula","Fringillidae","Passeriformes","birds",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"9","Bo","crop","Sturnus vulgaris","Sturnidae","Passeriformes","birds",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"10","Bo","crop","Sylvia atricapilla","Sylviidae","Passeriformes","birds",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"11","Bo","crop","Turdus merula","Turdidae","Passeriformes","birds",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"12","Bo","crtl","Alauda arvensis","Alaudidae","Passeriformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"13","Bo","crtl","Anthus pratensis","Motacillidae","Passeriformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"14","Bo","crtl","Corvus corone","Corvidae","Passeriformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"15","Bo","crtl","Emberiza citrinella","Emberizidae","Passeriformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"16","Bo","crtl","Hirundo rustica","Hirundinidae","Passeriformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"17","Bo","crtl","Motacilla alba","Motacillidae","Passeriformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"18","Bo","crtl","Perdix perdix","Phasianidae","Galliformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"19","Bo","crtl","Phasianus colchicus","Phasianidae","Galliformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"20","Bo","crtl","Turdus merula","Turdidae","Passeriformes","birds",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"21","Bo","tree","Ardea cinerea","Ardeidae","Pelecaniformes","birds",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"22","Bo","tree","Columba oenas","Columbidae","Columbiformes","birds",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"23","Bo","tree","Columba palumbus","Columbidae","Columbiformes","birds",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"24","Bo","tree","Corvus corone","Corvidae","Passeriformes","birds",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"25","Bo","tree","Fringilla coelebs","Fringillidae","Passeriformes","birds",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"26","Bo","tree","Sylvia atricapilla","Sylviidae","Passeriformes","birds",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
"27","Bo","tree","Turdus merula","Turdidae","Passeriformes","birds",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Luc Willems","","","AudioMoth recording"
